motif_id,Odds_Ratio,P_Value,Foreground_Count,Background_Count,Adj_P_Value,motif_alt_id
MA1363.1,1.0947259457286724,0.24949424394901087,367,313,0.78407770951072,LRL2
MA1364.2,1.0085400086166951,0.918202817001907,444,411,1.0,BHLH72
MA1365.3,0.9913929131972151,0.8956886459598807,480,452,1.0,AT5G47660
MA1366.2,0.9626720554966327,0.4683205486877887,759,736,0.9053561594897231,DF1
MA1367.2,0.9493654144750795,0.43565607267337236,479,471,0.9053561594897231,AT1G76870
MA1368.3,1.1133426735813332,0.09630709913118451,533,447,0.5756642005897787,GT-4
MA1369.2,1.0393560388054555,0.4210910228068057,944,848,0.9006259179435702,HDG1
MA1370.2,0.9746406093396504,0.5216382974982243,1279,1225,0.9238814193852523,IDD5
MA1371.2,1.0259249582686116,0.4440197298394605,1902,1731,0.9053561594897231,IDD4
MA1372.2,0.9189425375057118,0.24660495946184038,379,385,0.7824298733554134,ZAT10
MA1373.1,1.0089267402881341,0.6994176123240565,4075,3771,0.9548974835667107,GAF1
MA1374.2,1.0095295177174344,0.8257601313774805,1303,1205,0.9988753502259674,IDD7
MA1375.2,1.0343848361044723,0.449894682875346,1068,964,0.9053561594897231,ANL2
MA1376.2,0.9491151477216913,0.6998430207279086,122,120,0.9548974835667107,DEAR3
MA1377.2,1.0113733079134577,0.9495885367470618,130,120,1.0,PLT1
MA1378.1,0.8992148880020103,0.3918066338010556,131,136,0.8855392520137562,AIL6
MA1379.1,0.9774779716908522,0.369787999323636,3237,3091,0.8727123486522969,SOL1
MA1380.1,0.9603273658963254,0.11428217507600312,3157,3068,0.6129680299531076,TCX6
MA1381.2,0.9913115127519916,0.9348763344665421,309,291,1.0,AT3G46070
